epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,eta,epoch_time
0,-0.6867074890539705,-0.6287068724632263,0.2730823520908452,0.3217504620552063,-0.9597898415438061,-0.9504573345184326,0.02636362958701396,0.02626514434814453,6291.45947265625,1.6609086639818795,359.05587434768677
1,-0.7093715122007245,-0.6499208807945251,0.2550994901949675,0.30317574739456177,-0.964471002471296,-0.9530966281890869,0.026316986535356784,0.02618265151977539,6311.18798828125,1.6579701517274774,358.5040376186371
2,-0.7256099154583464,-0.6683812141418457,0.24247673217726765,0.2912977933883667,-0.9680866474893727,-0.9596790075302124,0.026352173592830427,0.02624034881591797,6325.5673828125,1.6601869363483168,358.9730381965637
3,-0.7358713527536686,-0.6802849769592285,0.23549561724028104,0.28390616178512573,-0.9713669698350156,-0.9641911387443542,0.026316041125605597,0.026172161102294922,6325.5673828125,1.6579105909131526,358.5416214466095
4,-0.7424704666694317,-0.6885982751846313,0.23192024312962534,0.27929723262786865,-0.9743907096721306,-0.9678955078125,0.026310527671682297,0.026187419891357422,6325.5673828125,1.6575632433159846,358.47635889053345
5,-0.7507095380929936,-0.6890732049942017,0.22622532654341465,0.2799593508243561,-0.9769348648466646,-0.9690325856208801,0.026373407344678253,0.026224374771118164,6325.607421875,1.66152466271473,359.4567360877991
6,-0.7571320329124985,-0.7028537392616272,0.22175720555236114,0.2681751847267151,-0.978889238180103,-0.9710289239883423,0.026358219899298412,0.026192426681518555,6325.607421875,1.6605678536558,359.1687591075897
6,-0.7573624132659804,-0.6969487071037292,0.2214688929051004,0.27497100830078125,-0.978831306332774,-0.9719197154045105,0.026452924770634666,0.026312589645385742,6282.70849609375,1.666534260549984,360.47191762924194
7,-0.7620858102275322,-0.7106977701187134,0.2188296415417797,0.26197314262390137,-0.9809154512158024,-0.9726709127426147,0.026405627228985734,0.026287078857421875,6297.58203125,1.6635545154261013,359.81938099861145
8,-0.766620572977848,-0.7148722410202026,0.21576018249133844,0.2615717649459839,-0.982380755437179,-0.9764440059661865,0.026384681500767646,0.026241779327392578,6309.890625,1.6622349345483618,359.5731632709503
9,-0.7705486178150902,-0.7192385196685791,0.21335614804954106,0.2577085494995117,-0.9839047660528134,-0.9769470691680908,0.026402653433571798,0.026244401931762695,6309.890625,1.6633671663150233,359.84222197532654
10,-0.7741635729494681,-0.725091814994812,0.21084728058843946,0.25385239720344543,-0.9850108533751107,-0.9789441823959351,0.0263826830300055,0.026213645935058594,6309.890625,1.6621090308903463,359.5713176727295
11,-0.7763165457541302,-0.7211997509002686,0.20944494332294006,0.2570800483226776,-0.9857614892569747,-0.9782798290252686,0.026422776272452132,0.026262521743774414,6311.40576171875,1.6646349051644844,360.1295955181122
12,-0.7776219096504117,-0.7271175384521484,0.20905628923621145,0.25269198417663574,-0.986678199170828,-0.9798095226287842,0.0264461327284303,0.026262521743774414,6311.40576171875,1.666106361891109,360.43444752693176
13,-0.7811869780899515,-0.7296462059020996,0.2059554471091097,0.2533600926399231,-0.9871424252470726,-0.9830062985420227,0.02644070866602225,0.026206493377685547,6311.40576171875,1.6657646459594018,360.4025049209595
14,-0.7826854188692463,-0.7280426025390625,0.20515045384686662,0.25538870692253113,-0.9878358729776917,-0.9834312796592712,0.026371736525076513,0.026230812072753906,6311.40576171875,1.6614194010798204,359.4565579891205
15,-0.7841681095946498,-0.7305656671524048,0.20408612334518977,0.2526271641254425,-0.9882542333923598,-0.9831928014755249,0.026387076282155097,0.02622699737548828,6311.40576171875,1.662385805775771,359.6964771747589
16,-0.7844429546422883,-0.7345741987228394,0.20423908912224306,0.2496451437473297,-0.9886820437899166,-0.9842193126678467,0.026378931765043863,0.026237010955810547,6311.40576171875,1.6618727011977634,359.5668840408325
17,-0.7871004471018812,-0.7342572808265686,0.20199083489679812,0.2487134337425232,-0.9890912823275843,-0.9829707145690918,0.02636250385787079,0.026210546493530273,6317.11962890625,1.6608377430458598,359.3351299762726
18,-0.7884390208202153,-0.7423176169395447,0.20103971532438164,0.24303032457828522,-0.9894787359967001,-0.9853479266166687,0.02644307247294946,0.026198387145996094,6317.11962890625,1.665913565795816,360.46005868911743
19,-0.7896786291249089,-0.7411808371543884,0.2000090079348261,0.24288563430309296,-0.989687637301447,-0.9840664863586426,0.026366805193221318,0.026237964630126953,6317.11962890625,1.661108727172943,359.4195008277893
20,-0.7907002840640059,-0.7411805987358093,0.19932145625297673,0.24458564817905426,-0.9900217401823302,-0.9857662320137024,0.02650680987713611,0.02618265151977539,6317.11962890625,1.6699290222595748,361.306174993515
21,-0.7911629367604025,-0.7440503239631653,0.1991000702916035,0.2415664941072464,-0.9902630069813687,-0.9856168031692505,0.02642719205790348,0.026230335235595703,6317.11962890625,1.6649130996479191,360.22642159461975
22,-0.7921650792243666,-0.7447339296340942,0.19828242077263503,0.24153801798820496,-0.990447499833101,-0.9862719178199768,0.02654545371262782,0.026196956634521484,6317.11962890625,1.6723635838955528,361.8509418964386
23,-0.7910584837637533,-0.7401068210601807,0.1994996306757319,0.24780413508415222,-0.9905581146635379,-0.9879109263420105,0.026409986822457324,0.026214122772216797,6317.11962890625,1.6638291698148113,360.0220012664795
24,-0.793849057267749,-0.7443245053291321,0.19698786306137087,0.24364300072193146,-0.9908369202833159,-0.9879674911499023,0.026390254872788784,0.026205778121948242,6317.11962890625,1.6625860569856934,359.75529623031616
25,-0.7940953833625437,-0.7473350763320923,0.19692502476914567,0.2407759130001068,-0.9910204081559709,-0.9881110191345215,0.026333617012674355,0.026245594024658203,6317.11962890625,1.6590178717984843,359.00233459472656
26,-0.795103417379875,-0.7469708919525146,0.19599670701241564,0.24152597784996033,-0.9911001244171241,-0.9884968996047974,0.026447675358974514,0.026198148727416992,6317.11962890625,1.6662035476153945,360.5318214893341
27,-0.7957926932754061,-0.7446278929710388,0.19554620476325224,0.24241657555103302,-0.9913388981252995,-0.9870444536209106,0.026361519156116158,0.026203155517578125,6317.11962890625,1.660775706835318,359.384761095047
28,-0.7960550720475708,-0.7499984502792358,0.1952990852856484,0.23794332146644592,-0.9913541571924964,-0.9879418015480042,0.026376658038345675,0.026213645935058594,6317.11962890625,1.6617294564157774,359.6452317237854
