epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,eta,epoch_time
0,-0.7167446165703898,-0.6901854872703552,0.2375813208530727,0.25736546516418457,-0.9543259374693052,-0.9475509524345398,0.026980315551558304,0.02622675895690918,6291.45947265625,1.6727795641966148,178.03750348091125
1,-0.7347677383601088,-0.716856062412262,0.2248151826204804,0.24038924276828766,-0.9595829206986567,-0.9572452902793884,0.027578108421822106,0.026222944259643555,6311.18798828125,1.7098427221529706,181.81645703315735
2,-0.7476740652754608,-0.7348127365112305,0.2160531172368127,0.22675040364265442,-0.9637271824148578,-0.9615631103515625,0.02715814889274988,0.02619624137878418,6325.5673828125,1.6838052313504925,179.09868955612183
3,-0.7562900144968413,-0.7448506951332092,0.21090729031961086,0.2223425656557083,-0.967197304504722,-0.9671932458877563,0.027135700175366463,0.02622675895690918,6325.5673828125,1.6824134108727207,178.94106030464172
4,-0.7619046235410933,-0.7516617178916931,0.20821880224053263,0.21808427572250366,-0.9701234262881875,-0.9697459936141968,0.027164506941570757,0.02616095542907715,6325.5673828125,1.6841994303773868,179.16045928001404
5,-0.7687339962784867,-0.7531180381774902,0.2042008793032219,0.21795779466629028,-0.9729348756023378,-0.9710758328437805,0.02725368605230684,0.027433156967163086,6325.607421875,1.689728535243024,179.75129079818726
6,-0.7750281275024672,-0.7642015814781189,0.20047580544063082,0.21063317358493805,-0.9755039329144464,-0.9748347401618958,0.027294077518957797,0.026205062866210938,6325.607421875,1.6922328061753833,180.0189287662506
6,-0.7750926363873419,-0.7642275094985962,0.20036342221807468,0.21088075637817383,-0.9754560584564279,-0.97510826587677,0.02775522951455579,0.02661275863647461,6282.70849609375,1.720824229902459,183.1772861480713
7,-0.7788600264705341,-0.7657690048217773,0.19894918412373555,0.21196988224983215,-0.977809210499146,-0.9777389168739319,0.02718996491877414,0.026275157928466797,6297.58203125,1.6857778249639968,179.34882354736328
8,-0.7829773388831657,-0.7754650712013245,0.1963583048289234,0.2033776044845581,-0.9793356434141117,-0.9788426756858826,0.02723411581476291,0.02623271942138672,6309.890625,1.6885151805153005,179.6462848186493
9,-0.7863327167415927,-0.7800633311271667,0.19477843838533132,0.20216113328933716,-0.9811111558329012,-0.9822244644165039,0.027212272257350845,0.026234149932861328,6309.890625,1.6871608799557523,179.50621032714844
10,-0.7896172850155093,-0.7837406396865845,0.19290024112612628,0.19978775084018707,-0.9825175262619726,-0.9835283756256104,0.027168683209175,0.026201963424682617,6309.890625,1.68445835896885,179.21431469917297
11,-0.7908787933281248,-0.7834470868110657,0.1925167646731822,0.20004482567310333,-0.9833955579566105,-0.9834918975830078,0.02723240999052514,0.026243925094604492,6311.40576171875,1.6884094194125587,179.63578987121582
12,-0.7924587626655988,-0.7844877243041992,0.19209764096837212,0.20028431713581085,-0.9845564037245103,-0.9847720265388489,0.027182846615047128,0.026266098022460938,6311.40576171875,1.685336490132922,179.34132361412048
13,-0.7953167302739417,-0.7902907133102417,0.18961147258252736,0.1945979744195938,-0.98492820259975,-0.9848886728286743,0.027331006066686574,0.026212453842163086,6311.40576171875,1.6945223761345676,180.30033040046692
