epoch,train_loss_track
0,-0.5225559091146489
1,-0.6806651530079773
2,-0.6987317513110862
3,-0.7104771809733886
4,-0.7181727963784201
5,-0.7264589914491313
6,-0.7335816954177711
7,-0.739077745665115
8,-0.7435236918512497
9,-0.7475275136875558
10,-0.7511894600938388
11,-0.7541997145655971
12,-0.7566574830592661
13,-0.7588017887498868
14,-0.760613855926587
15,-0.7621744379931819
16,-0.7635751074129539
17,-0.7647773870488296
18,-0.7657649660466305
19,-0.7667038370762099
20,-0.7675745597425159
21,-0.7683718248648774
22,-0.7690827863960421
23,-0.769742920222349
24,-0.7704185539369692
25,-0.7709191196424647
26,-0.7715401360302867
27,-0.7720156249778143
28,-0.7725548618765331
29,-0.7730218075354253
30,-0.773388316379728
31,-0.7738699738273768
32,-0.7741651289833322
33,-0.7746028619870023
34,-0.7749180621727566
35,-0.7752965975101479
36,-0.7756264372945889
37,-0.7759763021560343
38,-0.7762809037630873
39,-0.7765730992515557
40,-0.7768805037127742
41,-0.7771561191097165
42,-0.7773689286563276
43,-0.7776430181839162
44,-0.7778791494814176
45,-0.7781351940826619
46,-0.7783870498747306
47,-0.778663645884053
48,-0.778796798039457
49,-0.7790852503341433
50,-0.7792753771536278
51,-0.7795297997694092
52,-0.7797112189613538
53,-0.7799332077068446
54,-0.7801335289654188
