epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,epoch_time
0,-0.6874369540399866,-0.6507537364959717,0.2731039306399818,0.30940622091293335,-0.9605408839592258,-0.960159957408905,0.18695226527005654,0.14435267448425293,17806.20361328125,633.9583094120026
1,-0.7171926878363101,-0.6915557384490967,0.25003488954319414,0.2759283483028412,-0.9672275773869203,-0.9674840569496155,0.18719316351487553,0.12147951126098633,17869.94677734375,634.775187253952
2,-0.7333600312396404,-0.7149454951286316,0.23852262777136932,0.258874773979187,-0.9718826594988295,-0.9738202691078186,0.18734231947165117,0.121826171875,17871.64892578125,635.2811343669891
3,-0.7420889797929766,-0.7177871465682983,0.23392041781015857,0.2589470148086548,-0.976009397374607,-0.9767341613769531,0.18752223444842758,0.1299455165863037,17871.64892578125,635.8911592960358
4,-0.7548111281354658,-0.7340284585952759,0.22473367615631795,0.2466205209493637,-0.9795448039342965,-0.9806489944458008,0.18724949624959575,0.12136983871459961,17874.88427734375,634.966432094574
5,-0.7617589989465144,-0.740382730960846,0.21992775442375545,0.24178002774715424,-0.9816867532281265,-0.9821627736091614,0.18738461989141503,0.12210440635681152,17877.63427734375,635.4255561828613
6,-0.7678838993838071,-0.7515146136283875,0.2159881973901701,0.23279400169849396,-0.9838720969029362,-0.9843086004257202,0.18683105413627568,0.1160893440246582,17877.63427734375,633.5479829311371
7,-0.7724752222609088,-0.7586784958839417,0.21298438810652087,0.22770608961582184,-0.9854596109666295,-0.9863845705986023,0.1871080482227547,0.12171125411987305,17877.63427734375,634.4870822429657
8,-0.7778142530694362,-0.7620059847831726,0.20898064985239428,0.22557391226291656,-0.9867949030332105,-0.987579882144928,0.18675259283881945,0.12264728546142578,17877.63427734375,633.2811670303345
9,-0.7813892747061364,-0.7690512537956238,0.20651269222457058,0.21963757276535034,-0.9879019667505212,-0.9886888265609741,0.18581226145542676,0.1498558521270752,17791.5185546875,630.0926847457886
10,-0.7856808897119547,-0.7729195356369019,0.2032051992979352,0.21659469604492188,-0.9888860892735762,-0.9895142316818237,0.1710895291122846,0.11235809326171875,17858.357421875,580.1680483818054
11,-0.7882291051012285,-0.7759195566177368,0.20150144096264128,0.21401946246623993,-0.9897305458074622,-0.9899390339851379,0.1856662995060859,0.12052416801452637,17872.87109375,629.5983419418335
12,-0.7905618852747692,-0.7720967531204224,0.19968979335254455,0.21791759133338928,-0.990251678766573,-0.9900143146514893,0.1777719372811482,0.11155390739440918,17873.55615234375,602.8284950256348
13,-0.7929015388442713,-0.7724123001098633,0.19781899898526037,0.21844568848609924,-0.9907205374134016,-0.9908580183982849,0.18624762629590813,0.1217958927154541,17875.74658203125,631.5696787834167
14,-0.7948319422362704,-0.777729332447052,0.19635569681498405,0.2141844630241394,-0.9911876390292806,-0.9919137954711914,0.186213491167582,0.1216878890991211,17875.74658203125,631.4541459083557
15,-0.7959415693872903,-0.780101478099823,0.19561755788833202,0.21180351078510284,-0.9915591273474494,-0.9919049739837646,0.18640867280805404,0.12232637405395508,17875.74658203125,632.1155643463135
15,-0.7962240081744427,-0.7831997871398926,0.195447985342534,0.20900815725326538,-0.9916719937367153,-0.992207944393158,0.17358388896538282,0.1266016960144043,17792.69091796875,588.6260392665863
16,-0.7979606530368408,-0.785544753074646,0.1938952988315783,0.2067858874797821,-0.9918559521818212,-0.9923306703567505,0.16667260999912992,0.11342310905456543,17872.68212890625,565.1901307106018
17,-0.7993083369212112,-0.786041259765625,0.19278705242700808,0.20595252513885498,-0.9920953888164519,-0.99199378490448,0.17097194213777192,0.11489176750183105,17872.68212890625,579.7693753242493
18,-0.7999464143757543,-0.7817299962043762,0.1924250164466988,0.21105755865573883,-0.9923714306042252,-0.9927875399589539,0.16888214655240283,0.10609102249145508,17872.68212890625,572.6827924251556
19,-0.801119531972381,-0.7801480293273926,0.19145483104009528,0.21207532286643982,-0.992574362874865,-0.99222332239151,0.16755753694048886,0.1094200611114502,17881.740234375,568.1910409927368
20,-0.8019820829862634,-0.7826796770095825,0.19076275538933885,0.21020779013633728,-0.992744838429713,-0.9928874969482422,0.1689536564471763,0.11166906356811523,17881.740234375,572.9257280826569
